qasrl_id,tokens,sentence
Wiki1k:wikinews:1134211:2:0,"Police referred themselves to PIRC John McNeill , who said `` My investigation found -LSB- ... -RSB- there was potential to stop and breathalyse the person thereby preventing a later serious road accident '' .","Police referred themselves to PIRC John McNeill, who said """"My investigation found [...] there was potential to stop and breathalyse the person thereby preventing a later serious road accident""""."
Wiki1k:wikinews:1138228:0:0,The Scottish Parliament approved a bill to legalise same-sex marriage by a free vote of 105 -- 18 .,The Scottish Parliament approved a bill to legalise same-sex marriage by a free vote of 105--18.
Wiki1k:wikinews:1138228:0:1,The Marriage and Civil Partnership -LRB- Scotland -RRB- Bill allows for religious bodies to opt in to providing same-sex wedding ceremonies .,The Marriage and Civil Partnership (Scotland) Bill allows for religious bodies to opt in to providing same-sex wedding ceremonies.
Wiki1k:wikinews:1138228:0:2,The Bill was opposed by religious bodies including the Church of Scotland and the Roman Catholic Church .,The Bill was opposed by religious bodies including the Church of Scotland and the Roman Catholic Church.
Wiki1k:wikinews:1138228:1:0,"During the Parliamentary debate a number of amendments were advanced and rejected , including an amendment to recognise that `` a belief in marriage as a voluntary union between one man and one woman to the exclusion of all others for life is a belief worthy of respect in a democratic society '' .","During the Parliamentary debate a number of amendments were advanced and rejected, including an amendment to recognise that """"a belief in marriage as a voluntary union between one man and one woman to the exclusion of all others for life is a belief worthy of respect in a democratic society""""."
Wiki1k:wikinews:1138228:2:1,I am proud that the Scottish Parliament has taken this progressive and hugely important decision in favour of equal rights in our country .,I am proud that the Scottish Parliament has taken this progressive and hugely important decision in favour of equal rights in our country.
Wiki1k:wikinews:1138228:2:2,It is right that same sex couples should be able to freely express their love and commitment to each other through getting married .,It is right that same sex couples should be able to freely express their love and commitment to each other through getting married.
Wiki1k:wikinews:1194804:0:0,The top deck of the bus was crushed on one side after hitting the truck and spinning .,The top deck of the bus was crushed on one side after hitting the truck and spinning.
Wiki1k:wikinews:1194804:0:2,The bus driver fled and is unaccounted for .,The bus driver fled and is unaccounted for.
Wiki1k:wikinews:1194804:1:1,The second bus escaped the accident .,The second bus escaped the accident.
Wiki1k:wikinews:1194804:2:2,He cited the old appearance of the vehicle as a reason to suspect brake failure for the accident .,He cited the old appearance of the vehicle as a reason to suspect brake failure for the accident.
Wiki1k:wikinews:1194804:4:0,"Road accident rates are among the world 's highest in Thailand ; last December a bus fell off a bridge , killing 29 .","Road accident rates are among the world""s highest in Thailand; last December a bus fell off a bridge, killing 29."
Wiki1k:wikinews:1194804:4:1,"Road accidents killed 8,600 on the nation 's roads last year .","Road accidents killed 8,600 on the nation""s roads last year."
Wiki1k:wikinews:1194804:4:2,Legislation does not require bus passengers to wear seatbelts .,Legislation does not require bus passengers to wear seatbelts.
Wiki1k:wikinews:1210401:1:2,Craven repeated the Games should be about sport .,Craven repeated the Games should be about sport.
Wiki1k:wikinews:1210401:2:2,"He said the world and the Paralympic movement is aware of the situation in the Ukraine , but the IPC needs to stay true to its mission .","He said the world and the Paralympic movement is aware of the situation in the Ukraine, but the IPC needs to stay true to its mission."
Wiki1k:wikinews:1217805:0:0,"Two people received significant injuries in the explosion , which also wounded eight others and sent fourteen victims into shock .","Two people received significant injuries in the explosion, which also wounded eight others and sent fourteen victims into shock."
Wiki1k:wikinews:1217805:0:2,"He placed the device on the bus after rejecting several others he rode on as insufficiently crowded , according to the prosecution .","He placed the device on the bus after rejecting several others he rode on as insufficiently crowded, according to the prosecution."
Wiki1k:wikinews:1217805:1:2,Later that day an unrelated ceasefire was brokered by Egypt .,Later that day an unrelated ceasefire was brokered by Egypt.
Wiki1k:wikinews:1217805:2:1,"Laviv Habib , representing Mafarja , cited the defendant 's young age , and his guilty pleas , in mitigation .","Laviv Habib, representing Mafarja, cited the defendant""s young age, and his guilty pleas, in mitigation."
Wiki1k:wikinews:1217805:4:0,"Other alleged members of Mafarja 's cell , which was based in the Beit Liqya and Ramallah areas , have been indicted .","Other alleged members of Mafarja""s cell, which was based in the Beit Liqya and Ramallah areas, have been indicted."
Wiki1k:wikinews:1217805:4:1,Prosecutors claim political assassinations and suicide attacks were planned .,Prosecutors claim political assassinations and suicide attacks were planned.
Wiki1k:wikinews:1217805:4:4,"A fourth suspect , Ahmad Salah Ahmad Musa , 25 and of Beit Likya , was indicted in January .","A fourth suspect, Ahmad Salah Ahmad Musa, 25 and of Beit Likya, was indicted in January."
Wiki1k:wikinews:1229988:11:0,"Politicians have criticised the five-year delay holding the FAI , as has Scottish Trades Union Congress general secretary Grahame Smith who said `` It is vitally important that lessons are learned at the earliest opportunity following tragedies where lives are lost '' .","Politicians have criticised the five-year delay holding the FAI, as has Scottish Trades Union Congress general secretary Grahame Smith who said """"It is vitally important that lessons are learned at the earliest opportunity following tragedies where lives are lost""""."
Wiki1k:wikinews:1229988:12:1,"MSP Richard Baker said the victims ' families and North Sea oil workers , who routinely use helicopters , had waited `` far too long '' for the FAI to conclude .","MSP Richard Baker said the victims"" families and North Sea oil workers, who routinely use helicopters, had waited """"far too long"""" for the FAI to conclude."
Wiki1k:wikinews:1229988:12:2,`` FAIs should never be delayed so long again . '',"""""FAIs should never be delayed so long again."""""
Wiki1k:wikinews:1229988:14:0,"Twelve victims were from Scotland , many of those from in and around Aberdeen where the six-week inquiry was held .","Twelve victims were from Scotland, many of those from in and around Aberdeen where the six-week inquiry was held."
Wiki1k:wikinews:1229988:14:2,"Half of the fourteen passengers and two crew died `` instantaneously '' and the rest died very shortly after impact with the sea from blunt force trauma , the inquiry found .","Half of the fourteen passengers and two crew died """"instantaneously"""" and the rest died very shortly after impact with the sea from blunt force trauma, the inquiry found."
Wiki1k:wikinews:1229988:16:0,"Audrey Wood said `` The length of wait for nearly five years has been intolerable for all the families and we , the families , feel let down by the system . ''","Audrey Wood said """"The length of wait for nearly five years has been intolerable for all the families and we, the families, feel let down by the system."""""
Wiki1k:wikinews:1229988:16:1,Bond 's statement this week says `` We would like to express again our deep sorrow at the 16 lives lost .,"Bond""s statement this week says """"We would like to express again our deep sorrow at the 16 lives lost."
Wiki1k:wikinews:1229988:16:2,"Bond Offshore hopes -LSB- the inquiry -RSB- brings a degree of closure to the families , friends and dependents of those who died in the tragedy of 2009 . ''","Bond Offshore hopes [the inquiry] brings a degree of closure to the families, friends and dependents of those who died in the tragedy of 2009."""""
Wiki1k:wikinews:1229988:16:3,"The sheriff also noted the `` courage '' of victims ' families , who attended the full hearing .","The sheriff also noted the """"courage"""" of victims"" families, who attended the full hearing."
Wiki1k:wikinews:1229988:1:0,"After a hearing in Aberdeen , Sheriff Principal Derek Pyle found Bond Offshore Helicopters failed to remove a component after a metal shard was found .","After a hearing in Aberdeen, Sheriff Principal Derek Pyle found Bond Offshore Helicopters failed to remove a component after a metal shard was found."
Wiki1k:wikinews:1229988:2:1,The aircraft went down after the gearbox failed in flight .,The aircraft went down after the gearbox failed in flight.
Wiki1k:wikinews:1229988:4:0,"The inquiry is surrounded by controversy owing to the five-year gap between accident and findings , and the decision by Crown Office not to prosecute over the crash .","The inquiry is surrounded by controversy owing to the five-year gap between accident and findings, and the decision by Crown Office not to prosecute over the crash."
Wiki1k:wikinews:1229988:4:1,"`` For a criminal prosecution to have taken place , the Crown would have to prove its case beyond reasonable doubt '' a Crown Office statement said on Thursday .","""""For a criminal prosecution to have taken place, the Crown would have to prove its case beyond reasonable doubt"""" a Crown Office statement said on Thursday."
Wiki1k:wikinews:1229988:4:2,`` The Sheriff Principal makes clear that a reasonable doubt remained over the technical cause of the crash '' .,"""""The Sheriff Principal makes clear that a reasonable doubt remained over the technical cause of the crash""""."
Wiki1k:wikinews:1229988:6:1,"But , as the evidence made clear , such a coincidence was indeed a possibility . ''","But, as the evidence made clear, such a coincidence was indeed a possibility."""""
Wiki1k:wikinews:1229988:6:2,Pyle 's report added `` the small piece of the helicopter which would have proved the matter beyond any doubt -LSB- has -RSB- not been recovered from the seabed '' .,"Pyle""s report added """"the small piece of the helicopter which would have proved the matter beyond any doubt [has] not been recovered from the seabed""""."
Wiki1k:wikinews:1229988:7:1,Sheriff Pyle found Bond 's employees `` tried to carry out their jobs as diligently as they could .,"Sheriff Pyle found Bond""s employees """"tried to carry out their jobs as diligently as they could."
Wiki1k:wikinews:1229988:7:2,All of them impressed me as engineers who well understood the vital importance of their role in ensuring -LSB- ... -RSB- safety '' .,"All of them impressed me as engineers who well understood the vital importance of their role in ensuring [...] safety""""."
Wiki1k:wikinews:1229988:7:3,"He also found staff were well-trained and resourced , echoing findings by the AAIB and the Civil Aviation Authority .","He also found staff were well-trained and resourced, echoing findings by the AAIB and the Civil Aviation Authority."
Wiki1k:wikinews:1229988:9:1,"While welcoming the FAI 's conclusions , victims ' lawyer Tom Marshall said the families wanted to review the decision not to prosecute with the Lord Advocate , and are also seeking a broader public inquiry .","While welcoming the FAI""s conclusions, victims"" lawyer Tom Marshall said the families wanted to review the decision not to prosecute with the Lord Advocate, and are also seeking a broader public inquiry."
Wiki1k:wikinews:1229988:9:2,"Audrey Wood , whose son Stuart died in the disaster , said `` How -LSB- Crown Office -RSB- arrived at that decision -LSB- not prosecuting -RSB- will haunt us , as not only did we hear of multiple breaches of health and safety , but the decision was also made without all the evidence being present , as vital witness statements had not been given '' .","Audrey Wood, whose son Stuart died in the disaster, said """"How [Crown Office] arrived at that decision [not prosecuting] will haunt us, as not only did we hear of multiple breaches of health and safety, but the decision was also made without all the evidence being present, as vital witness statements had not been given""""."
Wiki1k:wikinews:1244689:0:1,"Alicia Benefield , 19 , of DeBerry was killed allegedly by her boyfriend , Rodris Webster .","Alicia Benefield, 19, of DeBerry was killed allegedly by her boyfriend, Rodris Webster."
Wiki1k:wikinews:1291628:0:1,Co-defendant Daniel Spitler plead guilty .,Co-defendant Daniel Spitler plead guilty.
Wiki1k:wikinews:1291628:1:0,"Spitler discovered AT&T had inadvertently made data publicly available through their website , and wrote a script allowing him to obtain the email addresses of approximately 120,000 customers , including that of then-New York mayor Michael Bloomberg .","Spitler discovered AT&T had inadvertently made data publicly available through their website, and wrote a script allowing him to obtain the email addresses of approximately 120,000 customers, including that of then-New York mayor Michael Bloomberg."
Wiki1k:wikinews:1291628:3:0,"Prosecutors argued that approximately 4,500 of the affected users lived in New Jersey and the state was therefore a valid place for the trial , but the court noted neither the servers accessed , nor the Gawker reporter , nor the defendants , were based in that state .","Prosecutors argued that approximately 4,500 of the affected users lived in New Jersey and the state was therefore a valid place for the trial, but the court noted neither the servers accessed, nor the Gawker reporter, nor the defendants, were based in that state."
Wiki1k:wikinews:1291628:3:1,"Auernheimer 's attorney , Tor Ekeland , said that the government was `` trying to find courts that are favourable to them '' .","Auernheimer""s attorney, Tor Ekeland, said that the government was """"trying to find courts that are favourable to them""""."
Wiki1k:wikinews:1337403:2:0,"Rachael McEnhill , assistant prosecutor for Muskegon County , was asked why it had taken so long for victims to come forward : `` I think that there was a lot of family pressure and pressure within the church .","Rachael McEnhill, assistant prosecutor for Muskegon County, was asked why it had taken so long for victims to come forward: """"I think that there was a lot of family pressure and pressure within the church."
Wiki1k:wikinews:1353674:0:0,Toads opened the scoring through a penalty goal .,Toads opened the scoring through a penalty goal.
Wiki1k:wikinews:1353674:0:1,This was followed by a converted try only three minutes later .,This was followed by a converted try only three minutes later.
Wiki1k:wikinews:1353674:0:2,"Maroochydore would open their account through a penalty try , which they converted .","Maroochydore would open their account through a penalty try, which they converted."
Wiki1k:wikinews:1353674:0:3,They would finish the half with an unconverted try .,They would finish the half with an unconverted try.
Wiki1k:wikinews:1435785:1:1,Toads scored their fourth try right on half time .,Toads scored their fourth try right on half time.
Wiki1k:wikinews:1435785:2:0,Toads appeared to continue their dominance early in the second half scoring two converted tries .,Toads appeared to continue their dominance early in the second half scoring two converted tries.
Wiki1k:wikinews:1435785:2:2,"University would run out the match scoring three more tries , only one of which was converted .","University would run out the match scoring three more tries, only one of which was converted."
Wiki1k:wikinews:1483963:1:2,Caloundra retook the lead five minutes later through another penalty goal .,Caloundra retook the lead five minutes later through another penalty goal.
Wiki1k:wikinews:1483963:3:1,This was achieved by making Caloundra ground the ball behind said try line after carrying it over .,This was achieved by making Caloundra ground the ball behind said try line after carrying it over.
Wiki1k:wikinews:1483963:5:0,University slotted the match 's final penalty goal around five minutes before full time .,"University slotted the match""s final penalty goal around five minutes before full time."
Wiki1k:wikinews:1504550:0:0,Dr. Sheik Humarr Khan died from Ebola virus on Tuesday afternoon at Kailahun treatment centre in Sierra Leone .,Dr. Sheik Humarr Khan died from Ebola virus on Tuesday afternoon at Kailahun treatment centre in Sierra Leone.
Wiki1k:wikinews:1504550:0:2,"On Thursday , Sierra Leone declared a state of emergency , quarantining Ebola epicentres .","On Thursday, Sierra Leone declared a state of emergency, quarantining Ebola epicentres."
Wiki1k:wikinews:1504550:1:0,"The previous Tuesday , Minister of Health and Sanitation Miatta Kargbo announced Dr. Khan had contracted Ebola .","The previous Tuesday, Minister of Health and Sanitation Miatta Kargbo announced Dr. Khan had contracted Ebola."
Wiki1k:wikinews:1513779:1:1,"As coauthor Shayne McGregor of the University of New South Wales explains , `` the main cause of the Pacific wind , temperature , and sea level trends over the past 20 years lies in the Atlantic Ocean -LSB- ... -RSB- We saw that the rapid Atlantic surface warming observed since the early 1990s , induced partly by greenhouse gases , has generated unusually low sea level pressure over the tropical Atlantic .","As coauthor Shayne McGregor of the University of New South Wales explains, """"the main cause of the Pacific wind, temperature, and sea level trends over the past 20 years lies in the Atlantic Ocean [...] We saw that the rapid Atlantic surface warming observed since the early 1990s, induced partly by greenhouse gases, has generated unusually low sea level pressure over the tropical Atlantic."
Wiki1k:wikinews:1513779:1:3,"These parcels move westward aloft and then sink again in the eastern equatorial Pacific , where their sinking creates a high pressure system .","These parcels move westward aloft and then sink again in the eastern equatorial Pacific, where their sinking creates a high pressure system."
Wiki1k:wikinews:1513779:1:4,The resulting Atlantic -- Pacific pressure difference strengthens the Pacific trade winds . '',"The resulting Atlantic--Pacific pressure difference strengthens the Pacific trade winds."""""
Wiki1k:wikinews:1513779:2:0,"Coauthor Malte Stuecker of the University of Hawaii Meteorology Department reports that `` Our study documents that some of the largest tropical and subtropical climate trends of the past 20 years are all linked : Strengthening of the Pacific trade winds , acceleration of sea level rise -LSB- three times faster than the global average -RSB- in the western Pacific , eastern Pacific surface cooling , the global warming hiatus , and even the massive droughts in California '' .","Coauthor Malte Stuecker of the University of Hawaii Meteorology Department reports that """"Our study documents that some of the largest tropical and subtropical climate trends of the past 20 years are all linked: Strengthening of the Pacific trade winds, acceleration of sea level rise [three times faster than the global average] in the western Pacific, eastern Pacific surface cooling, the global warming hiatus, and even the massive droughts in California""""."
Wiki1k:wikinews:1513779:2:1,"His colleague cauthor Fei-Fei Jin adds , `` We are just starting to grasp the scope of the impacts of this global atmospheric reorganization and of the out-of phase temperature trends in the Atlantic and Pacific regions '' .","His colleague cauthor Fei-Fei Jin adds, """"We are just starting to grasp the scope of the impacts of this global atmospheric reorganization and of the out-of phase temperature trends in the Atlantic and Pacific regions""""."
Wiki1k:wikinews:1513779:2:2,"Work earlier this year by coauthor Matthew England , University of New South Wales , showed the stronger winds have churned up the waters of the Western Pacific Ocean , so more heat flows from the winds into the water .","Work earlier this year by coauthor Matthew England, University of New South Wales, showed the stronger winds have churned up the waters of the Western Pacific Ocean, so more heat flows from the winds into the water."
Wiki1k:wikinews:1513779:3:0,Coauthor Axel Timmermann of the University of Hawaii notes a further amplifying effect : `` Stronger trade winds in the equatorial Pacific also increase the upwelling of cold waters to the surface .,"Coauthor Axel Timmermann of the University of Hawaii notes a further amplifying effect: """"Stronger trade winds in the equatorial Pacific also increase the upwelling of cold waters to the surface."
Wiki1k:wikinews:1513779:3:2,"As Professor England said , `` It will be difficult to predict when the Pacific cooling trend and its contribution to the global hiatus in surface temperatures will come to an end .","As Professor England said, """"It will be difficult to predict when the Pacific cooling trend and its contribution to the global hiatus in surface temperatures will come to an end."
Wiki1k:wikinews:1524901:0:0,"Addressing the fourth East Asia Summit Foreign Ministers ' Meeting at the ASEAN -LRB- Association of Southeast Asian Nations -RRB- Regional Form -LRB- ARF -RRB- in Naypyidaw , Myanmar on Sunday , she said `` India opposes the use or threat of use of force '' and backs the freedom of navigation with due acceptance of the 1982 United Nations Convention on the Law of the Sea .","Addressing the fourth East Asia Summit Foreign Ministers"" Meeting at the ASEAN (Association of Southeast Asian Nations) Regional Form (ARF) in Naypyidaw, Myanmar on Sunday, she said """"India opposes the use or threat of use of force"""" and backs the freedom of navigation with due acceptance of the 1982 United Nations Convention on the Law of the Sea."
Wiki1k:wikinews:1524901:1:0,"A petroleum company based in India , Oil and Natural Gas Corporation -LRB- ONGC -RRB- , operates in a number of oil blocks under South China Sea with consent of Vietnam , in the same Phu Khanh basin .","A petroleum company based in India, Oil and Natural Gas Corporation (ONGC), operates in a number of oil blocks under South China Sea with consent of Vietnam, in the same Phu Khanh basin."
Wiki1k:wikinews:1524901:1:1,The U.S. Geological Survey -LRB- USGS -RRB- identified that basin as potentially containing large hydrocarbon deposits .,The U.S. Geological Survey (USGS) identified that basin as potentially containing large hydrocarbon deposits.
Wiki1k:wikinews:1524901:2:0,"China has objected against the Indian presence , calling for foreign countries to stay out of the South China Sea , maintaining China 's claims there as indisputable .","China has objected against the Indian presence, calling for foreign countries to stay out of the South China Sea, maintaining China""s claims there as indisputable."
Wiki1k:wikinews:1558109:0:0,"The announcement follows claims of responsibility from forces loyal to Libyan General Khalifa Haftar , who has been moving in support of militias involved in the widespread conflict within the country .","The announcement follows claims of responsibility from forces loyal to Libyan General Khalifa Haftar, who has been moving in support of militias involved in the widespread conflict within the country."
Wiki1k:wikinews:1558109:3:0,"Libya 's foreign minister , Mohamed Abdel Aziz , told The Guardian the government was no longer able to defend the country 's assets , and while they did not want any outside intervention , they were in need of support and supplies .","Libya""s foreign minister, Mohamed Abdel Aziz, told The Guardian the government was no longer able to defend the country""s assets, and while they did not want any outside intervention, they were in need of support and supplies."
Wiki1k:wikinews:1558109:3:1,"He stated the government were struggling to secure national assets against those `` who are now stronger than the government itself , and who do now possess arms even more sophisticated than the government itself '' .","He stated the government were struggling to secure national assets against those """"who are now stronger than the government itself, and who do now possess arms even more sophisticated than the government itself""""."
Wiki1k:wikinews:1704610:0:0,"The failure occurred when Orbital Sciences Corporation 's Antares rocket , which was carrying the Cygnus vehicle with cargo of 5,000 pounds -LRB- about 2,300 kg -RRB- , exploded after liftoff at 6:22 p.m. local time -LRB- 2222 UTC -RRB- , creating a massive fireball in the sky .","The failure occurred when Orbital Sciences Corporation""s Antares rocket, which was carrying the Cygnus vehicle with cargo of 5,000 pounds (about 2,300 kg), exploded after liftoff at 6:22 p.m. local time (2222 UTC), creating a massive fireball in the sky."
Wiki1k:wikinews:1704610:0:1,"Nobody was reported injured during the explosion , but the rocket was destroyed .","Nobody was reported injured during the explosion, but the rocket was destroyed."
Wiki1k:wikinews:1704610:0:3,"Despite the explosion , the astronauts working on the ISS will not run out of food or supplies , according to a NASA statement released on Tuesday .","Despite the explosion, the astronauts working on the ISS will not run out of food or supplies, according to a NASA statement released on Tuesday."
Wiki1k:wikinews:1802356:0:0,A freighter hit a fishing boat around midnight on Sunday morning in the Gulf of Suez in the Red Sea .,A freighter hit a fishing boat around midnight on Sunday morning in the Gulf of Suez in the Red Sea.
Wiki1k:wikinews:1802356:0:1,"Of the 40 Egyptian fisherman on board , thirteen are dead and thirteen more missing .","Of the 40 Egyptian fisherman on board, thirteen are dead and thirteen more missing."
Wiki1k:wikinews:1802356:1:0,"Survivor Al Sayyed Mohamed Arafat told local media he jumped from the fishing boat , named Badr al-Islam , as the container ship approached .","Survivor Al Sayyed Mohamed Arafat told local media he jumped from the fishing boat, named Badr al-Islam, as the container ship approached."
Wiki1k:wikinews:1802356:1:1,He says he hung onto a wooden crate for four hours before rescue .,He says he hung onto a wooden crate for four hours before rescue.
Wiki1k:wikinews:1802356:1:2,Local authorities have promised compensation to each survivor .,Local authorities have promised compensation to each survivor.
Wiki1k:wikinews:1802356:2:0,"A vessel , flagged in Panama , suspected to be involved in the collision has been detained by the military .","A vessel, flagged in Panama, suspected to be involved in the collision has been detained by the military."
Wiki1k:wikinews:1802356:2:1,The army said yesterday one victim raised the alarm by phone and the military sent four boats and a helicopter to commence search and rescue off the Gabal al-Zayt coastline .,The army said yesterday one victim raised the alarm by phone and the military sent four boats and a helicopter to commence search and rescue off the Gabal al-Zayt coastline.
Wiki1k:wikinews:1802356:4:0,"The detained ship was found south of the Gulf , near the port of Safaga .","The detained ship was found south of the Gulf, near the port of Safaga."
Wiki1k:wikinews:1802356:4:1,It was carrying 220 tonnes of cargo according to the General Authority for the Red Sea Ports .,It was carrying 220 tonnes of cargo according to the General Authority for the Red Sea Ports.
Wiki1k:wikinews:1821952:0:2,"Though often touted as a potential presidential candidate , Sanders has never made a run for the presidency .","Though often touted as a potential presidential candidate, Sanders has never made a run for the presidency."
Wiki1k:wikinews:1821952:3:0,"Former Secretary of State Hillary Clinton , who ran unsuccessfully for president in 2008 , figures to be the frontrunner for the 2016 Democratic nomination .","Former Secretary of State Hillary Clinton, who ran unsuccessfully for president in 2008, figures to be the frontrunner for the 2016 Democratic nomination."
Wiki1k:wikinews:1821952:3:1,Experts are divided on how a Sanders candidacy would affect her prospects .,Experts are divided on how a Sanders candidacy would affect her prospects.
Wiki1k:wikinews:1821952:4:1,"But former New Hampshire State Senator Peter Burling argues Sanders can deliver with passion , something he says that Clinton lacks .","But former New Hampshire State Senator Peter Burling argues Sanders can deliver with passion, something he says that Clinton lacks."
Wiki1k:wikinews:1821952:5:0,"Other potential candidates for the Democratic nomination include Senator Elizabeth Warren of Massachusetts , Maryland governor Martin O'Malley , New York governor Andrew Cuomo , and Vice President Joe Biden .","Other potential candidates for the Democratic nomination include Senator Elizabeth Warren of Massachusetts, Maryland governor Martin O""Malley, New York governor Andrew Cuomo, and Vice President Joe Biden."
Wiki1k:wikinews:1821952:5:1,Former Senator Jim Webb of Virginia has opened an exploratory committee to determine whether he will run in 2016 .,Former Senator Jim Webb of Virginia has opened an exploratory committee to determine whether he will run in 2016.
Wiki1k:wikinews:1830160:0:1,"Team leader Emilia Wahlstrom yesterday presented preliminary assessment results at a press conference in the capital , Dhaka .","Team leader Emilia Wahlstrom yesterday presented preliminary assessment results at a press conference in the capital, Dhaka."
Wiki1k:wikinews:1830160:1:0,"At the press conference , Wahlstrom said the pollution was spread 40 kilometers up and downstream , but no impact on the mangrove forest floor was observed .","At the press conference, Wahlstrom said the pollution was spread 40 kilometers up and downstream, but no impact on the mangrove forest floor was observed."
Wiki1k:wikinews:1830160:3:0,"On December 9 , the OT Southern Star 7 tanker sank in an accident with another vessel .","On December 9, the OT Southern Star 7 tanker sank in an accident with another vessel."
Wiki1k:wikinews:1830160:4:1,The UN plans to release a final report in two weeks .,The UN plans to release a final report in two weeks.
Wiki1k:wikinews:1842757:0:0,"An explosion that took place in a barber shop next door to the Colorado Springs , Colorado office of the National Association for the Advancement of Colored People -LRB- NAACP -RRB- yesterday is currently being investigated by the FBI 's Joint Terrorism Task Force , as well as the Bureau of Alcohol , Tobacco , Firearms and Explosives .","An explosion that took place in a barber shop next door to the Colorado Springs, Colorado office of the National Association for the Advancement of Colored People (NAACP) yesterday is currently being investigated by the FBI""s Joint Terrorism Task Force, as well as the Bureau of Alcohol, Tobacco, Firearms and Explosives."
Wiki1k:wikinews:1842757:2:0,"Gene Southerland , owner of Mr. G 's Hair Design Studios , said : `` I was cutting somebody 's hair and I heard the explosion -LSB- ... -RSB- It was such a loud explosion that some plastic containers fell off the shelf . ''","Gene Southerland, owner of Mr. G""s Hair Design Studios, said: """"I was cutting somebody""s hair and I heard the explosion [...] It was such a loud explosion that some plastic containers fell off the shelf."""""
Wiki1k:wikinews:1842757:3:0,"Henry Allen Jr , the president of the Colorado Springs branch of the NAACP , told reporters : `` We 'll move on .","Henry Allen Jr, the president of the Colorado Springs branch of the NAACP, told reporters: """"We""ll move on."
Wiki1k:wikinews:1842757:3:1,This wo n't deter us from doing the job we want to do in the community . '',"This won""t deter us from doing the job we want to do in the community."""""
Wiki1k:wikinews:1842757:3:2,The NAACP national office put out a statement stating that the group `` looks forward to a full and thorough investigation into this matter by federal agents and local law enforcement '' .,"The NAACP national office put out a statement stating that the group """"looks forward to a full and thorough investigation into this matter by federal agents and local law enforcement""""."
Wiki1k:wikinews:1876406:0:0,Representatives of the United Nations Security Council 's -LRB- UNSC -RRB- fifteen member states flew to Haiti yesterday .,"Representatives of the United Nations Security Council""s (UNSC) fifteen member states flew to Haiti yesterday."
Wiki1k:wikinews:1876406:3:0,"Also due are municipal elections , with 4,000 local posts needing refilled .","Also due are municipal elections, with 4,000 local posts needing refilled."
Wiki1k:wikinews:1876406:3:1,A presidential election is due this year and the constitution forbids a consecutive term for Martelly .,A presidential election is due this year and the constitution forbids a consecutive term for Martelly.
