sentence_id,predicate_idx,predicate,sentence
Wiki1k:wikinews:1039242:1:0,26,making,"Issawi was arrested in 2002 in Ramallah, during the second intifada by the Israeli army for shooting at Israeli vehicles and reportedly also charged with making pipe bombs."
Wiki1k:wikinews:1039242:1:1,2,sentenced,He was sentenced to more than 25 years in prison.
Wiki1k:wikinews:1039242:3:0,8,began,"As a protest against the punishment, Issawi began a publicized hunger strike."
Wiki1k:wikinews:1039242:3:0,10,publicized,"As a protest against the punishment, Issawi began a publicized hunger strike."
Wiki1k:wikinews:1039242:3:1,7,fed,"For more than 260 days he was fed water, vitamins, and additional materials only by infusion."
Wiki1k:wikinews:1039242:3:2,7,became,"Consequentially, his medical condition deteriorated and became critical."
Wiki1k:wikinews:1039242:3:3,0,According,"According to the Los Angeles Times, Israel decided to start a negotiation lest Issawi""s death in the Israeli prison cause violence from the Palestinians in the West Bank."
Wiki1k:wikinews:1039242:3:3,8,decided,"According to the Los Angeles Times, Israel decided to start a negotiation lest Issawi""s death in the Israeli prison cause violence from the Palestinians in the West Bank."
Wiki1k:wikinews:1039242:3:3,10,start,"According to the Los Angeles Times, Israel decided to start a negotiation lest Issawi""s death in the Israeli prison cause violence from the Palestinians in the West Bank."
Wiki1k:wikinews:1134211:0:0,11,criticised,"Scotland""s Police Investigations and Review Commissioner (PIRC) has criticised the national force for failing to stop a driver reported to them for being drunk behind the wheel."
Wiki1k:wikinews:1134211:0:0,16,failing,"Scotland""s Police Investigations and Review Commissioner (PIRC) has criticised the national force for failing to stop a driver reported to them for being drunk behind the wheel."
Wiki1k:wikinews:1134211:0:0,18,stop,"Scotland""s Police Investigations and Review Commissioner (PIRC) has criticised the national force for failing to stop a driver reported to them for being drunk behind the wheel."
Wiki1k:wikinews:1134211:0:0,21,reported,"Scotland""s Police Investigations and Review Commissioner (PIRC) has criticised the national force for failing to stop a driver reported to them for being drunk behind the wheel."
Wiki1k:wikinews:1134211:0:1,3,wounded,A subsequent crash wounded four.
Wiki1k:wikinews:1134211:2:0,1,referred,"Police referred themselves to PIRC John McNeill, who said """"My investigation found [...] there was potential to stop and breathalyse the person thereby preventing a later serious road accident""""."
Wiki1k:wikinews:1134211:2:0,9,said,"Police referred themselves to PIRC John McNeill, who said """"My investigation found [...] there was potential to stop and breathalyse the person thereby preventing a later serious road accident""""."
Wiki1k:wikinews:1134211:2:0,13,found,"Police referred themselves to PIRC John McNeill, who said """"My investigation found [...] there was potential to stop and breathalyse the person thereby preventing a later serious road accident""""."
Wiki1k:wikinews:1134211:2:0,21,stop,"Police referred themselves to PIRC John McNeill, who said """"My investigation found [...] there was potential to stop and breathalyse the person thereby preventing a later serious road accident""""."
Wiki1k:wikinews:1134211:2:0,23,breathalyse,"Police referred themselves to PIRC John McNeill, who said """"My investigation found [...] there was potential to stop and breathalyse the person thereby preventing a later serious road accident""""."
Wiki1k:wikinews:1134211:2:0,27,preventing,"Police referred themselves to PIRC John McNeill, who said """"My investigation found [...] there was potential to stop and breathalyse the person thereby preventing a later serious road accident""""."
Wiki1k:wikinews:1138228:0:0,3,approved,The Scottish Parliament approved a bill to legalise same-sex marriage by a free vote of 105--18.
Wiki1k:wikinews:1138228:0:0,7,legalise,The Scottish Parliament approved a bill to legalise same-sex marriage by a free vote of 105--18.
Wiki1k:wikinews:1138228:0:1,9,allows,The Marriage and Civil Partnership (Scotland) Bill allows for religious bodies to opt in to providing same-sex wedding ceremonies.
Wiki1k:wikinews:1138228:0:1,14,opt,The Marriage and Civil Partnership (Scotland) Bill allows for religious bodies to opt in to providing same-sex wedding ceremonies.
Wiki1k:wikinews:1138228:0:1,17,providing,The Marriage and Civil Partnership (Scotland) Bill allows for religious bodies to opt in to providing same-sex wedding ceremonies.
Wiki1k:wikinews:1138228:0:2,3,opposed,The Bill was opposed by religious bodies including the Church of Scotland and the Roman Catholic Church.
Wiki1k:wikinews:1138228:0:2,7,including,The Bill was opposed by religious bodies including the Church of Scotland and the Roman Catholic Church.
Wiki1k:wikinews:1138228:1:0,9,advanced,"During the Parliamentary debate a number of amendments were advanced and rejected, including an amendment to recognise that """"a belief in marriage as a voluntary union between one man and one woman to the exclusion of all others for life is a belief worthy of respect in a democratic society""""."
Wiki1k:wikinews:1138228:1:0,11,rejected,"During the Parliamentary debate a number of amendments were advanced and rejected, including an amendment to recognise that """"a belief in marriage as a voluntary union between one man and one woman to the exclusion of all others for life is a belief worthy of respect in a democratic society""""."
Wiki1k:wikinews:1138228:1:0,13,including,"During the Parliamentary debate a number of amendments were advanced and rejected, including an amendment to recognise that """"a belief in marriage as a voluntary union between one man and one woman to the exclusion of all others for life is a belief worthy of respect in a democratic society""""."
Wiki1k:wikinews:1138228:1:0,17,recognise,"During the Parliamentary debate a number of amendments were advanced and rejected, including an amendment to recognise that """"a belief in marriage as a voluntary union between one man and one woman to the exclusion of all others for life is a belief worthy of respect in a democratic society""""."
Wiki1k:wikinews:1138228:2:1,8,taken,I am proud that the Scottish Parliament has taken this progressive and hugely important decision in favour of equal rights in our country.
Wiki1k:wikinews:1138228:2:2,12,express,It is right that same sex couples should be able to freely express their love and commitment to each other through getting married.
Wiki1k:wikinews:1138228:2:2,21,getting,It is right that same sex couples should be able to freely express their love and commitment to each other through getting married.
Wiki1k:wikinews:1138228:2:2,22,married,It is right that same sex couples should be able to freely express their love and commitment to each other through getting married.
Wiki1k:wikinews:1194804:0:0,7,crushed,The top deck of the bus was crushed on one side after hitting the truck and spinning.
Wiki1k:wikinews:1194804:0:0,12,hitting,The top deck of the bus was crushed on one side after hitting the truck and spinning.
Wiki1k:wikinews:1194804:0:0,16,spinning,The top deck of the bus was crushed on one side after hitting the truck and spinning.
Wiki1k:wikinews:1194804:0:2,3,fled,The bus driver fled and is unaccounted for.
Wiki1k:wikinews:1194804:1:1,3,escaped,The second bus escaped the accident.
Wiki1k:wikinews:1194804:2:2,1,cited,He cited the old appearance of the vehicle as a reason to suspect brake failure for the accident.
Wiki1k:wikinews:1194804:2:2,12,suspect,He cited the old appearance of the vehicle as a reason to suspect brake failure for the accident.
Wiki1k:wikinews:1194804:4:0,16,fell,"Road accident rates are among the world""s highest in Thailand; last December a bus fell off a bridge, killing 29."
Wiki1k:wikinews:1194804:4:0,21,killing,"Road accident rates are among the world""s highest in Thailand; last December a bus fell off a bridge, killing 29."
Wiki1k:wikinews:1194804:4:1,2,killed,"Road accidents killed 8,600 on the nation""s roads last year."
Wiki1k:wikinews:1194804:4:2,3,require,Legislation does not require bus passengers to wear seatbelts.
Wiki1k:wikinews:1194804:4:2,7,wear,Legislation does not require bus passengers to wear seatbelts.
Wiki1k:wikinews:1210401:1:2,1,repeated,Craven repeated the Games should be about sport.
Wiki1k:wikinews:1210401:2:2,1,said,"He said the world and the Paralympic movement is aware of the situation in the Ukraine, but the IPC needs to stay true to its mission."
Wiki1k:wikinews:1210401:2:2,20,needs,"He said the world and the Paralympic movement is aware of the situation in the Ukraine, but the IPC needs to stay true to its mission."
Wiki1k:wikinews:1210401:2:2,22,stay,"He said the world and the Paralympic movement is aware of the situation in the Ukraine, but the IPC needs to stay true to its mission."
Wiki1k:wikinews:1217805:0:0,2,received,"Two people received significant injuries in the explosion, which also wounded eight others and sent fourteen victims into shock."
Wiki1k:wikinews:1217805:0:0,11,wounded,"Two people received significant injuries in the explosion, which also wounded eight others and sent fourteen victims into shock."
Wiki1k:wikinews:1217805:0:0,15,sent,"Two people received significant injuries in the explosion, which also wounded eight others and sent fourteen victims into shock."
Wiki1k:wikinews:1217805:0:2,1,placed,"He placed the device on the bus after rejecting several others he rode on as insufficiently crowded, according to the prosecution."
Wiki1k:wikinews:1217805:0:2,8,rejecting,"He placed the device on the bus after rejecting several others he rode on as insufficiently crowded, according to the prosecution."
Wiki1k:wikinews:1217805:0:2,12,rode,"He placed the device on the bus after rejecting several others he rode on as insufficiently crowded, according to the prosecution."
Wiki1k:wikinews:1217805:0:2,16,crowded,"He placed the device on the bus after rejecting several others he rode on as insufficiently crowded, according to the prosecution."
Wiki1k:wikinews:1217805:0:2,18,according,"He placed the device on the bus after rejecting several others he rode on as insufficiently crowded, according to the prosecution."
Wiki1k:wikinews:1217805:1:2,7,brokered,Later that day an unrelated ceasefire was brokered by Egypt.
Wiki1k:wikinews:1217805:2:1,3,representing,"Laviv Habib, representing Mafarja, cited the defendant""s young age, and his guilty pleas, in mitigation."
Wiki1k:wikinews:1217805:2:1,6,cited,"Laviv Habib, representing Mafarja, cited the defendant""s young age, and his guilty pleas, in mitigation."
Wiki1k:wikinews:1217805:4:0,10,based,"Other alleged members of Mafarja""s cell, which was based in the Beit Liqya and Ramallah areas, have been indicted."
Wiki1k:wikinews:1217805:4:0,21,indicted,"Other alleged members of Mafarja""s cell, which was based in the Beit Liqya and Ramallah areas, have been indicted."
Wiki1k:wikinews:1217805:4:1,1,claim,Prosecutors claim political assassinations and suicide attacks were planned.
Wiki1k:wikinews:1217805:4:1,8,planned,Prosecutors claim political assassinations and suicide attacks were planned.
Wiki1k:wikinews:1217805:4:4,16,indicted,"A fourth suspect, Ahmad Salah Ahmad Musa, 25 and of Beit Likya, was indicted in January."
Wiki1k:wikinews:1229988:11:0,2,criticised,"Politicians have criticised the five-year delay holding the FAI, as has Scottish Trades Union Congress general secretary Grahame Smith who said """"It is vitally important that lessons are learned at the earliest opportunity following tragedies where lives are lost""""."
Wiki1k:wikinews:1229988:11:0,6,holding,"Politicians have criticised the five-year delay holding the FAI, as has Scottish Trades Union Congress general secretary Grahame Smith who said """"It is vitally important that lessons are learned at the earliest opportunity following tragedies where lives are lost""""."
Wiki1k:wikinews:1229988:11:0,11,has,"Politicians have criticised the five-year delay holding the FAI, as has Scottish Trades Union Congress general secretary Grahame Smith who said """"It is vitally important that lessons are learned at the earliest opportunity following tragedies where lives are lost""""."
Wiki1k:wikinews:1229988:11:0,21,said,"Politicians have criticised the five-year delay holding the FAI, as has Scottish Trades Union Congress general secretary Grahame Smith who said """"It is vitally important that lessons are learned at the earliest opportunity following tragedies where lives are lost""""."
Wiki1k:wikinews:1229988:11:0,30,learned,"Politicians have criticised the five-year delay holding the FAI, as has Scottish Trades Union Congress general secretary Grahame Smith who said """"It is vitally important that lessons are learned at the earliest opportunity following tragedies where lives are lost""""."
Wiki1k:wikinews:1229988:11:0,35,following,"Politicians have criticised the five-year delay holding the FAI, as has Scottish Trades Union Congress general secretary Grahame Smith who said """"It is vitally important that lessons are learned at the earliest opportunity following tragedies where lives are lost""""."
Wiki1k:wikinews:1229988:11:0,40,lost,"Politicians have criticised the five-year delay holding the FAI, as has Scottish Trades Union Congress general secretary Grahame Smith who said """"It is vitally important that lessons are learned at the earliest opportunity following tragedies where lives are lost""""."
Wiki1k:wikinews:1229988:12:1,3,said,"MSP Richard Baker said the victims"" families and North Sea oil workers, who routinely use helicopters, had waited """"far too long"""" for the FAI to conclude."
Wiki1k:wikinews:1229988:12:1,16,use,"MSP Richard Baker said the victims"" families and North Sea oil workers, who routinely use helicopters, had waited """"far too long"""" for the FAI to conclude."
Wiki1k:wikinews:1229988:12:1,20,waited,"MSP Richard Baker said the victims"" families and North Sea oil workers, who routinely use helicopters, had waited """"far too long"""" for the FAI to conclude."
Wiki1k:wikinews:1229988:12:1,30,conclude,"MSP Richard Baker said the victims"" families and North Sea oil workers, who routinely use helicopters, had waited """"far too long"""" for the FAI to conclude."
Wiki1k:wikinews:1229988:12:2,5,delayed,"""""FAIs should never be delayed so long again."""""
Wiki1k:wikinews:1229988:14:0,19,held,"Twelve victims were from Scotland, many of those from in and around Aberdeen where the six-week inquiry was held."
Wiki1k:wikinews:1229988:14:2,8,died,"Half of the fourteen passengers and two crew died """"instantaneously"""" and the rest died very shortly after impact with the sea from blunt force trauma, the inquiry found."
Wiki1k:wikinews:1229988:14:2,15,died,"Half of the fourteen passengers and two crew died """"instantaneously"""" and the rest died very shortly after impact with the sea from blunt force trauma, the inquiry found."
Wiki1k:wikinews:1229988:14:2,30,found,"Half of the fourteen passengers and two crew died """"instantaneously"""" and the rest died very shortly after impact with the sea from blunt force trauma, the inquiry found."
Wiki1k:wikinews:1229988:16:0,2,said,"Audrey Wood said """"The length of wait for nearly five years has been intolerable for all the families and we, the families, feel let down by the system."""""
Wiki1k:wikinews:1229988:16:0,25,feel,"Audrey Wood said """"The length of wait for nearly five years has been intolerable for all the families and we, the families, feel let down by the system."""""
Wiki1k:wikinews:1229988:16:0,26,let,"Audrey Wood said """"The length of wait for nearly five years has been intolerable for all the families and we, the families, feel let down by the system."""""
Wiki1k:wikinews:1229988:16:1,5,says,"Bond""s statement this week says """"We would like to express again our deep sorrow at the 16 lives lost."
Wiki1k:wikinews:1229988:16:1,9,like,"Bond""s statement this week says """"We would like to express again our deep sorrow at the 16 lives lost."
Wiki1k:wikinews:1229988:16:1,11,express,"Bond""s statement this week says """"We would like to express again our deep sorrow at the 16 lives lost."
Wiki1k:wikinews:1229988:16:1,20,lost,"Bond""s statement this week says """"We would like to express again our deep sorrow at the 16 lives lost."
Wiki1k:wikinews:1229988:16:2,2,hopes,"Bond Offshore hopes [the inquiry] brings a degree of closure to the families, friends and dependents of those who died in the tragedy of 2009."""""
Wiki1k:wikinews:1229988:16:2,7,brings,"Bond Offshore hopes [the inquiry] brings a degree of closure to the families, friends and dependents of those who died in the tragedy of 2009."""""
Wiki1k:wikinews:1229988:16:2,22,died,"Bond Offshore hopes [the inquiry] brings a degree of closure to the families, friends and dependents of those who died in the tragedy of 2009."""""
Wiki1k:wikinews:1229988:16:3,3,noted,"The sheriff also noted the """"courage"""" of victims"" families, who attended the full hearing."
Wiki1k:wikinews:1229988:16:3,14,attended,"The sheriff also noted the """"courage"""" of victims"" families, who attended the full hearing."
Wiki1k:wikinews:1229988:1:0,10,found,"After a hearing in Aberdeen, Sheriff Principal Derek Pyle found Bond Offshore Helicopters failed to remove a component after a metal shard was found."
Wiki1k:wikinews:1229988:1:0,14,failed,"After a hearing in Aberdeen, Sheriff Principal Derek Pyle found Bond Offshore Helicopters failed to remove a component after a metal shard was found."
Wiki1k:wikinews:1229988:1:0,16,remove,"After a hearing in Aberdeen, Sheriff Principal Derek Pyle found Bond Offshore Helicopters failed to remove a component after a metal shard was found."
Wiki1k:wikinews:1229988:1:0,24,found,"After a hearing in Aberdeen, Sheriff Principal Derek Pyle found Bond Offshore Helicopters failed to remove a component after a metal shard was found."
Wiki1k:wikinews:1229988:2:1,2,went,The aircraft went down after the gearbox failed in flight.
Wiki1k:wikinews:1229988:2:1,7,failed,The aircraft went down after the gearbox failed in flight.
Wiki1k:wikinews:1229988:4:0,3,surrounded,"The inquiry is surrounded by controversy owing to the five-year gap between accident and findings, and the decision by Crown Office not to prosecute over the crash."
Wiki1k:wikinews:1229988:4:0,24,prosecute,"The inquiry is surrounded by controversy owing to the five-year gap between accident and findings, and the decision by Crown Office not to prosecute over the crash."
Wiki1k:wikinews:1229988:4:1,7,taken,"""""For a criminal prosecution to have taken place, the Crown would have to prove its case beyond reasonable doubt"""" a Crown Office statement said on Thursday."
Wiki1k:wikinews:1229988:4:1,15,prove,"""""For a criminal prosecution to have taken place, the Crown would have to prove its case beyond reasonable doubt"""" a Crown Office statement said on Thursday."
Wiki1k:wikinews:1229988:4:1,26,said,"""""For a criminal prosecution to have taken place, the Crown would have to prove its case beyond reasonable doubt"""" a Crown Office statement said on Thursday."
Wiki1k:wikinews:1229988:4:2,4,makes,"""""The Sheriff Principal makes clear that a reasonable doubt remained over the technical cause of the crash""""."
Wiki1k:wikinews:1229988:4:2,10,remained,"""""The Sheriff Principal makes clear that a reasonable doubt remained over the technical cause of the crash""""."
Wiki1k:wikinews:1229988:6:1,5,made,"But, as the evidence made clear, such a coincidence was indeed a possibility."""""
Wiki1k:wikinews:1229988:6:2,3,added,"Pyle""s report added """"the small piece of the helicopter which would have proved the matter beyond any doubt [has] not been recovered from the seabed""""."
Wiki1k:wikinews:1229988:6:2,14,proved,"Pyle""s report added """"the small piece of the helicopter which would have proved the matter beyond any doubt [has] not been recovered from the seabed""""."
Wiki1k:wikinews:1229988:6:2,21,has,"Pyle""s report added """"the small piece of the helicopter which would have proved the matter beyond any doubt [has] not been recovered from the seabed""""."
Wiki1k:wikinews:1229988:6:2,25,recovered,"Pyle""s report added """"the small piece of the helicopter which would have proved the matter beyond any doubt [has] not been recovered from the seabed""""."
Wiki1k:wikinews:1229988:7:1,2,found,"Sheriff Pyle found Bond""s employees """"tried to carry out their jobs as diligently as they could."
Wiki1k:wikinews:1229988:7:1,7,tried,"Sheriff Pyle found Bond""s employees """"tried to carry out their jobs as diligently as they could."
Wiki1k:wikinews:1229988:7:1,9,carry,"Sheriff Pyle found Bond""s employees """"tried to carry out their jobs as diligently as they could."
Wiki1k:wikinews:1229988:7:2,3,impressed,"All of them impressed me as engineers who well understood the vital importance of their role in ensuring [...] safety""""."
Wiki1k:wikinews:1229988:7:2,9,understood,"All of them impressed me as engineers who well understood the vital importance of their role in ensuring [...] safety""""."
Wiki1k:wikinews:1229988:7:2,17,ensuring,"All of them impressed me as engineers who well understood the vital importance of their role in ensuring [...] safety""""."
Wiki1k:wikinews:1229988:7:3,2,found,"He also found staff were well-trained and resourced, echoing findings by the AAIB and the Civil Aviation Authority."
Wiki1k:wikinews:1229988:7:3,9,echoing,"He also found staff were well-trained and resourced, echoing findings by the AAIB and the Civil Aviation Authority."
Wiki1k:wikinews:1229988:9:1,1,welcoming,"While welcoming the FAI""s conclusions, victims"" lawyer Tom Marshall said the families wanted to review the decision not to prosecute with the Lord Advocate, and are also seeking a broader public inquiry."
Wiki1k:wikinews:1229988:9:1,12,said,"While welcoming the FAI""s conclusions, victims"" lawyer Tom Marshall said the families wanted to review the decision not to prosecute with the Lord Advocate, and are also seeking a broader public inquiry."
Wiki1k:wikinews:1229988:9:1,15,wanted,"While welcoming the FAI""s conclusions, victims"" lawyer Tom Marshall said the families wanted to review the decision not to prosecute with the Lord Advocate, and are also seeking a broader public inquiry."
Wiki1k:wikinews:1229988:9:1,17,review,"While welcoming the FAI""s conclusions, victims"" lawyer Tom Marshall said the families wanted to review the decision not to prosecute with the Lord Advocate, and are also seeking a broader public inquiry."
Wiki1k:wikinews:1229988:9:1,22,prosecute,"While welcoming the FAI""s conclusions, victims"" lawyer Tom Marshall said the families wanted to review the decision not to prosecute with the Lord Advocate, and are also seeking a broader public inquiry."
Wiki1k:wikinews:1229988:9:1,31,seeking,"While welcoming the FAI""s conclusions, victims"" lawyer Tom Marshall said the families wanted to review the decision not to prosecute with the Lord Advocate, and are also seeking a broader public inquiry."
Wiki1k:wikinews:1229988:9:2,6,died,"Audrey Wood, whose son Stuart died in the disaster, said """"How [Crown Office] arrived at that decision [not prosecuting] will haunt us, as not only did we hear of multiple breaches of health and safety, but the decision was also made without all the evidence being present, as vital witness statements had not been given""""."
Wiki1k:wikinews:1229988:9:2,11,said,"Audrey Wood, whose son Stuart died in the disaster, said """"How [Crown Office] arrived at that decision [not prosecuting] will haunt us, as not only did we hear of multiple breaches of health and safety, but the decision was also made without all the evidence being present, as vital witness statements had not been given""""."
Wiki1k:wikinews:1229988:9:2,18,arrived,"Audrey Wood, whose son Stuart died in the disaster, said """"How [Crown Office] arrived at that decision [not prosecuting] will haunt us, as not only did we hear of multiple breaches of health and safety, but the decision was also made without all the evidence being present, as vital witness statements had not been given""""."
Wiki1k:wikinews:1229988:9:2,24,prosecuting,"Audrey Wood, whose son Stuart died in the disaster, said """"How [Crown Office] arrived at that decision [not prosecuting] will haunt us, as not only did we hear of multiple breaches of health and safety, but the decision was also made without all the evidence being present, as vital witness statements had not been given""""."
Wiki1k:wikinews:1229988:9:2,27,haunt,"Audrey Wood, whose son Stuart died in the disaster, said """"How [Crown Office] arrived at that decision [not prosecuting] will haunt us, as not only did we hear of multiple breaches of health and safety, but the decision was also made without all the evidence being present, as vital witness statements had not been given""""."
Wiki1k:wikinews:1229988:9:2,33,did,"Audrey Wood, whose son Stuart died in the disaster, said """"How [Crown Office] arrived at that decision [not prosecuting] will haunt us, as not only did we hear of multiple breaches of health and safety, but the decision was also made without all the evidence being present, as vital witness statements had not been given""""."
Wiki1k:wikinews:1229988:9:2,35,hear,"Audrey Wood, whose son Stuart died in the disaster, said """"How [Crown Office] arrived at that decision [not prosecuting] will haunt us, as not only did we hear of multiple breaches of health and safety, but the decision was also made without all the evidence being present, as vital witness statements had not been given""""."
Wiki1k:wikinews:1229988:9:2,49,made,"Audrey Wood, whose son Stuart died in the disaster, said """"How [Crown Office] arrived at that decision [not prosecuting] will haunt us, as not only did we hear of multiple breaches of health and safety, but the decision was also made without all the evidence being present, as vital witness statements had not been given""""."
Wiki1k:wikinews:1229988:9:2,64,given,"Audrey Wood, whose son Stuart died in the disaster, said """"How [Crown Office] arrived at that decision [not prosecuting] will haunt us, as not only did we hear of multiple breaches of health and safety, but the decision was also made without all the evidence being present, as vital witness statements had not been given""""."
Wiki1k:wikinews:1244689:0:1,8,killed,"Alicia Benefield, 19, of DeBerry was killed allegedly by her boyfriend, Rodris Webster."
Wiki1k:wikinews:1291628:0:1,3,plead,Co-defendant Daniel Spitler plead guilty.
Wiki1k:wikinews:1291628:1:0,1,discovered,"Spitler discovered AT&T had inadvertently made data publicly available through their website, and wrote a script allowing him to obtain the email addresses of approximately 120,000 customers, including that of then-New York mayor Michael Bloomberg."
Wiki1k:wikinews:1291628:1:0,5,made,"Spitler discovered AT&T had inadvertently made data publicly available through their website, and wrote a script allowing him to obtain the email addresses of approximately 120,000 customers, including that of then-New York mayor Michael Bloomberg."
Wiki1k:wikinews:1291628:1:0,14,wrote,"Spitler discovered AT&T had inadvertently made data publicly available through their website, and wrote a script allowing him to obtain the email addresses of approximately 120,000 customers, including that of then-New York mayor Michael Bloomberg."
Wiki1k:wikinews:1291628:1:0,17,allowing,"Spitler discovered AT&T had inadvertently made data publicly available through their website, and wrote a script allowing him to obtain the email addresses of approximately 120,000 customers, including that of then-New York mayor Michael Bloomberg."
Wiki1k:wikinews:1291628:1:0,20,obtain,"Spitler discovered AT&T had inadvertently made data publicly available through their website, and wrote a script allowing him to obtain the email addresses of approximately 120,000 customers, including that of then-New York mayor Michael Bloomberg."
Wiki1k:wikinews:1291628:1:0,29,including,"Spitler discovered AT&T had inadvertently made data publicly available through their website, and wrote a script allowing him to obtain the email addresses of approximately 120,000 customers, including that of then-New York mayor Michael Bloomberg."
Wiki1k:wikinews:1291628:3:0,1,argued,"Prosecutors argued that approximately 4,500 of the affected users lived in New Jersey and the state was therefore a valid place for the trial, but the court noted neither the servers accessed, nor the Gawker reporter, nor the defendants, were based in that state."
Wiki1k:wikinews:1291628:3:0,7,affected,"Prosecutors argued that approximately 4,500 of the affected users lived in New Jersey and the state was therefore a valid place for the trial, but the court noted neither the servers accessed, nor the Gawker reporter, nor the defendants, were based in that state."
Wiki1k:wikinews:1291628:3:0,9,lived,"Prosecutors argued that approximately 4,500 of the affected users lived in New Jersey and the state was therefore a valid place for the trial, but the court noted neither the servers accessed, nor the Gawker reporter, nor the defendants, were based in that state."
Wiki1k:wikinews:1291628:3:0,28,noted,"Prosecutors argued that approximately 4,500 of the affected users lived in New Jersey and the state was therefore a valid place for the trial, but the court noted neither the servers accessed, nor the Gawker reporter, nor the defendants, were based in that state."
Wiki1k:wikinews:1291628:3:0,32,accessed,"Prosecutors argued that approximately 4,500 of the affected users lived in New Jersey and the state was therefore a valid place for the trial, but the court noted neither the servers accessed, nor the Gawker reporter, nor the defendants, were based in that state."
Wiki1k:wikinews:1291628:3:0,44,based,"Prosecutors argued that approximately 4,500 of the affected users lived in New Jersey and the state was therefore a valid place for the trial, but the court noted neither the servers accessed, nor the Gawker reporter, nor the defendants, were based in that state."
Wiki1k:wikinews:1291628:3:1,7,said,"Auernheimer""s attorney, Tor Ekeland, said that the government was """"trying to find courts that are favourable to them""""."
Wiki1k:wikinews:1291628:3:1,13,trying,"Auernheimer""s attorney, Tor Ekeland, said that the government was """"trying to find courts that are favourable to them""""."
Wiki1k:wikinews:1291628:3:1,15,find,"Auernheimer""s attorney, Tor Ekeland, said that the government was """"trying to find courts that are favourable to them""""."
Wiki1k:wikinews:1337403:2:0,10,asked,"Rachael McEnhill, assistant prosecutor for Muskegon County, was asked why it had taken so long for victims to come forward: """"I think that there was a lot of family pressure and pressure within the church."
Wiki1k:wikinews:1337403:2:0,14,taken,"Rachael McEnhill, assistant prosecutor for Muskegon County, was asked why it had taken so long for victims to come forward: """"I think that there was a lot of family pressure and pressure within the church."
Wiki1k:wikinews:1337403:2:0,20,come,"Rachael McEnhill, assistant prosecutor for Muskegon County, was asked why it had taken so long for victims to come forward: """"I think that there was a lot of family pressure and pressure within the church."
Wiki1k:wikinews:1337403:2:0,25,think,"Rachael McEnhill, assistant prosecutor for Muskegon County, was asked why it had taken so long for victims to come forward: """"I think that there was a lot of family pressure and pressure within the church."
Wiki1k:wikinews:1353674:0:0,1,opened,Toads opened the scoring through a penalty goal.
Wiki1k:wikinews:1353674:0:0,3,scoring,Toads opened the scoring through a penalty goal.
Wiki1k:wikinews:1353674:0:1,2,followed,This was followed by a converted try only three minutes later.
Wiki1k:wikinews:1353674:0:2,2,open,"Maroochydore would open their account through a penalty try, which they converted."
Wiki1k:wikinews:1353674:0:2,12,converted,"Maroochydore would open their account through a penalty try, which they converted."
Wiki1k:wikinews:1353674:0:3,2,finish,They would finish the half with an unconverted try.
Wiki1k:wikinews:1435785:1:1,1,scored,Toads scored their fourth try right on half time.
Wiki1k:wikinews:1435785:1:1,4,try,Toads scored their fourth try right on half time.
Wiki1k:wikinews:1435785:2:0,1,appeared,Toads appeared to continue their dominance early in the second half scoring two converted tries.
Wiki1k:wikinews:1435785:2:0,3,continue,Toads appeared to continue their dominance early in the second half scoring two converted tries.
